idx,type,n_craters,r_s,noise,ellipticity,alpha
633,single,1,19.69,0.051,0.233,3.0
634,single,1,14.4,0.066,0.27,3.23
635,single,1,12.16,0.034,0.251,3.02
636,single,1,27.8,0.03,0.168,2.98
637,single,1,25.76,0.057,0.056,3.22
638,single,1,19.06,0.022,0.158,3.34
639,single,1,15.11,0.045,0.275,3.12
640,single,1,10.32,0.058,0.117,3.27
641,single,1,20.13,0.07,0.224,2.98
642,single,1,11.09,0.058,0.173,3.03
643,single,1,20.9,0.058,0.004,3.16
644,single,1,26.58,0.048,0.136,3.25
645,single,1,16.48,0.057,0.049,3.21
646,single,1,15.02,0.064,0.094,3.08
647,single,1,29.26,0.062,0.096,2.93
648,single,1,15.59,0.065,0.291,3.07
649,single,1,29.34,0.016,0.155,2.97
650,single,1,23.96,0.036,0.126,3.4
651,single,1,23.72,0.062,0.184,3.32
652,single,1,19.21,0.043,0.134,3.4
653,single,1,28.64,0.061,0.157,3.39
654,single,1,14.4,0.011,0.037,3.2
655,single,1,29.77,0.017,0.096,3.17
656,single,1,15.74,0.038,0.191,3.33
657,single,1,13.55,0.037,0.293,2.93
658,single,1,12.23,0.046,0.134,3.27
659,single,1,17.01,0.023,0.294,3.38
660,single,1,10.62,0.055,0.069,3.14
661,single,1,27.73,0.016,0.111,3.13
662,single,1,25.68,0.035,0.127,2.99
663,single,1,11.01,0.034,0.073,3.27
664,single,1,11.32,0.029,0.211,3.24
665,single,1,19.1,0.036,0.269,3.27
666,single,1,9.21,0.041,0.08,3.47
667,single,1,16.3,0.02,0.189,3.39
668,single,1,16.2,0.042,0.123,3.09
669,single,1,19.35,0.052,0.042,3.34
670,single,1,15.22,0.053,0.299,2.92
671,single,1,9.9,0.052,0.001,2.95
672,single,1,10.12,0.018,0.299,3.11
673,single,1,13.84,0.042,0.204,3.18
674,single,1,17.21,0.047,0.181,3.25
675,single,1,22.47,0.042,0.264,3.09
676,single,1,28.1,0.057,0.172,3.11
677,single,1,28.07,0.031,0.188,3.28
678,single,1,9.95,0.044,0.052,3.16
679,single,1,29.67,0.045,0.078,3.25
680,single,1,29.0,0.05,0.233,3.08
681,single,1,28.79,0.013,0.235,3.48
682,single,1,9.92,0.066,0.043,3.44
683,single,1,23.13,0.03,0.149,2.91
684,single,1,13.27,0.013,0.093,3.35
685,single,1,14.3,0.044,0.099,2.96
686,single,1,21.5,0.051,0.115,3.04
687,single,1,18.77,0.032,0.213,3.49
688,single,1,14.52,0.025,0.161,2.8
689,single,1,15.46,0.033,0.265,3.02
690,single,1,17.13,0.061,0.247,3.39
691,single,1,16.45,0.049,0.114,3.29
692,single,1,8.17,0.036,0.083,2.85
693,single,1,26.72,0.015,0.279,3.18
694,single,1,26.41,0.044,0.296,3.27
695,single,1,23.68,0.061,0.093,3.03
696,single,1,12.74,0.049,0.108,2.82
697,single,1,25.69,0.034,0.031,2.86
698,single,1,8.6,0.017,0.237,3.04
699,single,1,11.84,0.025,0.079,3.03
700,single,1,9.42,0.021,0.032,3.17
701,single,1,13.51,0.069,0.135,3.47
702,single,1,29.87,0.069,0.098,3.16
703,single,1,15.85,0.039,0.084,3.25
704,single,1,15.85,0.06,0.058,2.82
705,single,1,25.98,0.052,0.108,3.13
706,single,1,13.66,0.055,0.158,3.35
707,single,1,27.07,0.043,0.182,3.06
708,single,1,20.68,0.067,0.231,2.94
709,single,1,12.84,0.029,0.231,3.06
710,single,1,19.87,0.04,0.152,3.06
711,single,1,8.5,0.064,0.299,3.16
712,single,1,18.29,0.027,0.023,3.2
713,single,1,23.82,0.031,0.245,2.99
714,single,1,22.24,0.045,0.162,3.01
715,single,1,28.45,0.056,0.095,2.84
716,single,1,15.85,0.014,0.201,2.9
717,single,1,9.84,0.06,0.295,2.9
718,single,1,26.49,0.047,0.03,2.89
719,single,1,23.23,0.048,0.222,2.86
720,single,1,25.01,0.042,0.133,3.22
721,single,1,10.14,0.055,0.277,2.96
722,single,1,28.1,0.067,0.065,3.28
723,single,1,8.94,0.026,0.001,3.49
724,single,1,24.5,0.036,0.231,2.98
725,single,1,10.11,0.012,0.231,3.09
726,single,1,20.7,0.061,0.026,3.09
727,single,1,10.54,0.032,0.228,3.43
728,single,1,27.34,0.011,0.055,2.85
729,single,1,13.83,0.061,0.286,3.47
730,single,1,21.61,0.055,0.032,2.89
731,single,1,20.22,0.014,0.047,3.49
732,single,1,16.53,0.034,0.005,3.45
733,single,1,22.75,0.035,0.004,3.15
734,single,1,18.8,0.069,0.232,3.22
735,single,1,20.01,0.034,0.057,3.27
736,single,1,12.62,0.033,0.206,2.95
737,single,1,24.97,0.04,0.062,3.37
738,single,1,8.27,0.058,0.172,3.07
739,single,1,28.15,0.059,0.175,3.48
740,single,1,20.35,0.069,0.246,3.45
741,single,1,20.58,0.027,0.079,2.9
742,single,1,14.91,0.038,0.242,3.21
743,single,1,9.27,0.018,0.21,3.38
744,single,1,26.57,0.027,0.251,3.43
745,single,1,24.9,0.03,0.053,3.4
746,single,1,13.92,0.064,0.267,3.38
747,single,1,27.73,0.031,0.204,3.0
748,single,1,22.03,0.017,0.182,3.47
749,single,1,21.77,0.03,0.271,3.35
750,single,1,9.87,0.043,0.249,2.96
751,single,1,13.8,0.019,0.028,3.43
752,single,1,28.99,0.063,0.071,3.0
753,single,1,11.85,0.023,0.086,3.4
754,single,1,20.32,0.057,0.233,3.03
755,single,1,13.4,0.036,0.018,2.8
756,single,1,11.48,0.068,0.015,2.92
757,single,1,28.87,0.038,0.025,3.11
758,single,1,9.92,0.035,0.0,2.8
759,single,1,8.88,0.032,0.287,3.37
760,single,1,25.3,0.042,0.003,3.35
761,single,1,18.86,0.021,0.168,3.38
762,single,1,11.79,0.061,0.198,3.34
763,single,1,23.59,0.023,0.18,3.42
764,single,1,22.4,0.056,0.107,3.14
765,single,1,9.31,0.04,0.207,3.42
766,single,1,11.93,0.07,0.025,2.92
767,single,1,27.23,0.043,0.285,3.17
768,single,1,18.54,0.037,0.096,3.06
769,single,1,8.48,0.022,0.282,2.95
770,single,1,9.66,0.041,0.176,3.0
771,single,1,14.64,0.023,0.28,3.3
772,single,1,10.37,0.012,0.127,3.27
773,single,1,29.4,0.039,0.042,3.09
774,single,1,28.6,0.039,0.06,3.05
775,single,1,14.47,0.068,0.03,3.38
776,single,1,15.12,0.044,0.087,3.44
777,single,1,13.44,0.04,0.018,2.89
778,single,1,26.13,0.043,0.006,3.22
779,single,1,14.86,0.043,0.275,2.86
780,single,1,11.61,0.037,0.281,2.97
781,single,1,23.36,0.045,0.032,3.02
782,single,1,26.7,0.019,0.016,2.81
783,single,1,22.48,0.051,0.221,3.41
784,single,1,28.14,0.025,0.045,2.8
785,single,1,24.6,0.014,0.279,3.18
786,single,1,27.06,0.03,0.207,3.04
787,single,1,8.18,0.07,0.002,3.41
788,single,1,19.39,0.027,0.256,3.49
789,single,1,29.73,0.021,0.222,3.49
790,single,1,25.83,0.028,0.027,2.88
791,single,1,14.2,0.033,0.181,3.27
792,single,1,15.76,0.051,0.046,2.82
793,single,1,20.3,0.061,0.06,3.38
794,single,1,14.63,0.021,0.222,3.1
795,single,1,29.71,0.031,0.265,3.0
796,single,1,22.68,0.034,0.13,3.4
797,single,1,19.94,0.037,0.053,3.05
798,single,1,25.47,0.055,0.03,3.37
799,single,1,12.89,0.014,0.243,3.18
800,single,1,11.28,0.031,0.051,3.01
801,single,1,29.38,0.053,0.011,3.31
802,single,1,12.21,0.021,0.261,2.98
803,single,1,17.62,0.037,0.244,3.3
804,single,1,24.4,0.062,0.086,3.33
805,single,1,26.9,0.021,0.053,3.4
806,single,1,16.53,0.019,0.034,3.4
807,single,1,23.93,0.012,0.211,3.16
808,single,1,11.5,0.057,0.173,3.1
809,single,1,24.06,0.034,0.271,3.36
810,single,1,8.24,0.019,0.081,2.87
811,single,1,10.37,0.025,0.26,3.0
812,single,1,26.52,0.022,0.274,3.33
813,single,1,29.82,0.07,0.141,3.21
814,single,1,25.39,0.061,0.26,3.37
815,single,1,22.9,0.069,0.149,3.27
816,single,1,15.61,0.024,0.232,3.38
817,single,1,11.88,0.025,0.298,2.99
818,single,1,24.93,0.036,0.149,3.45
819,single,1,10.35,0.019,0.226,3.18
820,single,1,25.48,0.015,0.032,3.23
821,single,1,8.98,0.031,0.19,3.36
822,single,1,25.74,0.057,0.111,3.23
823,single,1,26.66,0.03,0.236,3.09
824,single,1,29.74,0.068,0.065,3.2
825,single,1,15.68,0.032,0.124,3.29
826,single,1,19.73,0.04,0.139,2.9
827,single,1,24.35,0.019,0.29,3.14
828,single,1,19.74,0.011,0.075,3.49
829,single,1,20.08,0.059,0.091,3.1
830,single,1,24.0,0.036,0.295,2.83
831,single,1,28.98,0.047,0.031,3.26
832,single,1,21.48,0.039,0.07,3.18
833,single,1,9.75,0.05,0.197,3.2
834,single,1,25.65,0.037,0.278,3.48
835,single,1,19.02,0.049,0.287,2.95
836,single,1,8.25,0.023,0.133,2.88
837,single,1,10.13,0.053,0.216,2.86
838,single,1,12.39,0.024,0.277,3.41
839,single,1,20.46,0.047,0.074,2.8
840,single,1,13.91,0.054,0.122,3.3
841,single,1,26.37,0.069,0.024,3.36
842,single,1,13.78,0.059,0.22,3.01
843,single,1,18.14,0.01,0.16,2.94
844,single,1,16.51,0.042,0.014,3.42
845,single,1,25.17,0.029,0.042,2.98
846,single,1,15.9,0.066,0.09,3.46
847,single,1,10.56,0.054,0.169,3.16
848,single,1,18.26,0.02,0.132,3.37
849,single,1,12.45,0.01,0.29,2.94
850,single,1,9.42,0.017,0.177,3.05
851,single,1,16.16,0.036,0.239,3.16
852,single,1,18.11,0.024,0.184,3.18
853,single,1,29.54,0.07,0.063,2.88
854,single,1,8.08,0.042,0.208,3.01
855,single,1,12.94,0.01,0.013,2.85
856,single,1,17.15,0.026,0.242,3.05
857,single,1,22.22,0.031,0.019,3.09
858,single,1,19.73,0.034,0.08,3.04
859,single,1,19.13,0.054,0.101,3.35
860,single,1,14.15,0.03,0.066,2.99
861,single,1,16.18,0.03,0.292,3.17
862,single,1,8.09,0.012,0.16,3.03
863,single,1,20.51,0.01,0.058,3.17
864,single,1,10.21,0.021,0.054,3.18
865,single,1,26.31,0.021,0.287,3.43
866,single,1,27.24,0.021,0.161,2.99
867,single,1,18.39,0.069,0.181,2.94
868,single,1,11.72,0.021,0.281,3.3
869,single,1,14.6,0.068,0.238,3.21
870,single,1,14.04,0.048,0.232,3.1
871,single,1,28.14,0.059,0.069,3.07
872,single,1,11.21,0.069,0.116,3.34
873,single,1,12.07,0.061,0.299,3.16
874,single,1,11.29,0.019,0.288,2.92
875,single,1,29.07,0.059,0.18,3.28
876,single,1,18.72,0.032,0.112,2.95
877,single,1,27.77,0.058,0.19,3.29
878,single,1,24.32,0.035,0.214,3.25
879,single,1,18.39,0.049,0.098,3.4
880,single,1,22.58,0.024,0.207,3.09
881,single,1,15.94,0.038,0.042,3.29
882,single,1,12.11,0.034,0.107,2.93
883,single,1,14.98,0.021,0.221,2.99
884,single,1,24.34,0.017,0.198,2.82
885,single,1,22.17,0.038,0.04,2.92
886,single,1,25.84,0.038,0.09,3.42
887,single,1,21.61,0.039,0.286,3.06
888,single,1,13.26,0.042,0.183,3.14
889,single,1,15.37,0.023,0.238,3.43
890,single,1,11.23,0.03,0.171,3.49
891,single,1,16.95,0.056,0.15,3.15
892,single,1,17.81,0.055,0.053,3.26
893,single,1,9.64,0.042,0.109,3.3
894,single,1,21.34,0.018,0.16,3.26
895,single,1,26.73,0.04,0.05,3.28
896,single,1,19.13,0.056,0.021,2.82
897,single,1,17.04,0.034,0.097,2.93
898,single,1,10.6,0.03,0.284,3.47
899,single,1,27.01,0.064,0.269,2.87
900,single,1,14.17,0.069,0.137,3.39
901,single,1,25.71,0.023,0.099,3.14
902,single,1,8.36,0.036,0.252,3.01
903,single,1,10.33,0.06,0.149,3.18
904,single,1,14.44,0.045,0.15,3.44
905,single,1,10.25,0.053,0.252,3.24
906,single,1,9.27,0.01,0.092,2.85
907,single,1,14.54,0.053,0.285,3.25
908,single,1,21.16,0.056,0.226,3.32
909,single,1,27.52,0.066,0.234,2.81
910,single,1,22.1,0.017,0.041,2.99
911,single,1,16.28,0.024,0.052,2.94
912,single,1,20.53,0.05,0.257,2.98
913,single,1,29.81,0.028,0.22,3.32
914,single,1,15.39,0.036,0.195,3.03
915,single,1,14.04,0.048,0.175,3.2
916,single,1,23.04,0.041,0.047,3.4
917,single,1,9.77,0.054,0.069,3.27
918,single,1,15.02,0.05,0.246,3.45
919,single,1,20.82,0.021,0.136,3.15
920,single,1,11.41,0.052,0.028,3.0
921,single,1,16.65,0.069,0.047,3.16
922,single,1,21.94,0.055,0.092,3.01
923,single,1,12.23,0.02,0.163,3.27
924,single,1,15.51,0.028,0.01,3.02
925,single,1,26.58,0.065,0.13,2.8
926,single,1,23.16,0.036,0.104,3.37
927,single,1,11.73,0.015,0.238,3.33
928,single,1,17.13,0.029,0.076,3.16
929,single,1,22.32,0.033,0.086,2.87
930,single,1,29.64,0.03,0.0,3.29
931,single,1,24.05,0.036,0.161,2.89
932,single,1,20.97,0.031,0.13,3.33
933,single,1,23.29,0.034,0.065,3.15
934,single,1,19.52,0.053,0.247,3.34
935,single,1,10.29,0.046,0.023,3.48
936,single,1,12.68,0.053,0.18,3.02
937,single,1,9.05,0.025,0.142,3.38
938,single,1,29.28,0.069,0.002,3.14
939,single,1,13.1,0.048,0.186,3.49
940,single,1,15.95,0.032,0.029,3.06
941,single,1,28.96,0.057,0.031,2.97
942,single,1,24.82,0.036,0.001,3.18
943,single,1,22.36,0.046,0.115,3.41
944,single,1,8.34,0.056,0.129,3.36
945,single,1,14.96,0.021,0.155,3.03
946,single,1,8.66,0.043,0.085,3.2
947,single,1,19.01,0.043,0.081,3.27
948,single,1,22.59,0.033,0.034,2.97
949,single,1,18.6,0.043,0.24,3.38
950,single,1,24.62,0.051,0.05,2.86
951,single,1,12.31,0.029,0.174,3.02
952,single,1,20.3,0.055,0.108,3.08
953,single,1,10.49,0.017,0.069,3.0
954,single,1,16.68,0.052,0.186,3.08
955,single,1,21.75,0.051,0.178,3.04
956,single,1,11.29,0.026,0.096,3.05
957,single,1,26.8,0.05,0.086,3.33
958,single,1,25.57,0.039,0.158,3.15
959,single,1,28.54,0.011,0.299,2.83
960,single,1,28.62,0.053,0.257,2.96
961,single,1,19.07,0.044,0.209,3.0
962,single,1,8.87,0.015,0.143,3.35
963,single,1,24.56,0.028,0.271,3.11
964,single,1,17.7,0.066,0.117,3.22
965,single,1,11.14,0.018,0.274,3.19
966,single,1,15.55,0.029,0.219,3.15
967,single,1,12.46,0.053,0.008,3.47
968,single,1,18.08,0.054,0.003,2.89
969,single,1,15.78,0.06,0.18,3.27
970,single,1,20.08,0.036,0.121,3.45
971,single,1,10.39,0.031,0.296,3.15
972,single,1,16.02,0.056,0.23,3.27
973,single,1,23.36,0.064,0.243,3.38
974,single,1,9.02,0.03,0.081,3.01
975,multi,2,-1,0.047,-1,-1
976,multi,3,-1,0.022,-1,-1
977,multi,2,-1,0.045,-1,-1
978,multi,2,-1,0.053,-1,-1
979,multi,2,-1,0.053,-1,-1
980,multi,2,-1,0.026,-1,-1
981,multi,3,-1,0.024,-1,-1
982,multi,2,-1,0.051,-1,-1
983,multi,2,-1,0.06,-1,-1
984,multi,3,-1,0.043,-1,-1
985,multi,2,-1,0.028,-1,-1
986,multi,2,-1,0.037,-1,-1
987,multi,3,-1,0.055,-1,-1
988,multi,2,-1,0.042,-1,-1
989,multi,2,-1,0.036,-1,-1
990,multi,3,-1,0.051,-1,-1
991,multi,2,-1,0.046,-1,-1
992,multi,2,-1,0.055,-1,-1
993,multi,3,-1,0.041,-1,-1
994,multi,2,-1,0.036,-1,-1
995,multi,3,-1,0.03,-1,-1
996,multi,2,-1,0.046,-1,-1
997,multi,2,-1,0.05,-1,-1
998,multi,3,-1,0.037,-1,-1
999,multi,2,-1,0.056,-1,-1
1000,multi,2,-1,0.034,-1,-1
1001,multi,3,-1,0.047,-1,-1
1002,multi,3,-1,0.058,-1,-1
1003,multi,2,-1,0.056,-1,-1
1004,multi,2,-1,0.025,-1,-1
1005,multi,2,-1,0.031,-1,-1
1006,multi,2,-1,0.024,-1,-1
1007,multi,2,-1,0.045,-1,-1
1008,multi,3,-1,0.056,-1,-1
1009,multi,3,-1,0.039,-1,-1
1010,multi,3,-1,0.045,-1,-1
1011,multi,2,-1,0.032,-1,-1
1012,multi,3,-1,0.046,-1,-1
1013,multi,3,-1,0.053,-1,-1
1014,multi,2,-1,0.047,-1,-1
1015,multi,3,-1,0.027,-1,-1
1016,multi,3,-1,0.029,-1,-1
1017,multi,3,-1,0.051,-1,-1
1018,multi,3,-1,0.038,-1,-1
1019,multi,3,-1,0.054,-1,-1
1020,multi,2,-1,0.02,-1,-1
1021,multi,2,-1,0.047,-1,-1
1022,multi,2,-1,0.049,-1,-1
1023,multi,2,-1,0.057,-1,-1
1024,multi,2,-1,0.025,-1,-1
1025,multi,2,-1,0.058,-1,-1
1026,multi,2,-1,0.025,-1,-1
1027,multi,3,-1,0.039,-1,-1
1028,multi,3,-1,0.029,-1,-1
1029,multi,2,-1,0.05,-1,-1
1030,multi,2,-1,0.038,-1,-1
1031,multi,2,-1,0.054,-1,-1
1032,multi,3,-1,0.055,-1,-1
1033,multi,2,-1,0.024,-1,-1
1034,multi,3,-1,0.023,-1,-1
1035,multi,2,-1,0.056,-1,-1
1036,multi,2,-1,0.041,-1,-1
1037,multi,3,-1,0.03,-1,-1
1038,multi,3,-1,0.059,-1,-1
1039,multi,2,-1,0.021,-1,-1
1040,multi,2,-1,0.029,-1,-1
1041,multi,2,-1,0.051,-1,-1
1042,multi,2,-1,0.04,-1,-1
1043,multi,3,-1,0.054,-1,-1
1044,multi,3,-1,0.035,-1,-1
1045,multi,3,-1,0.042,-1,-1
1046,multi,3,-1,0.041,-1,-1
1047,multi,3,-1,0.056,-1,-1
1048,multi,3,-1,0.042,-1,-1
1049,multi,3,-1,0.052,-1,-1
1050,multi,2,-1,0.05,-1,-1
1051,multi,2,-1,0.037,-1,-1
1052,multi,3,-1,0.059,-1,-1
1053,multi,3,-1,0.047,-1,-1
1054,multi,3,-1,0.025,-1,-1
1055,multi,2,-1,0.035,-1,-1
1056,multi,3,-1,0.046,-1,-1
1057,multi,2,-1,0.029,-1,-1
1058,multi,2,-1,0.06,-1,-1
1059,multi,2,-1,0.032,-1,-1
1060,multi,3,-1,0.051,-1,-1
1061,multi,2,-1,0.035,-1,-1
1062,multi,2,-1,0.06,-1,-1
1063,multi,3,-1,0.059,-1,-1
1064,multi,2,-1,0.048,-1,-1
1065,multi,3,-1,0.023,-1,-1
1066,multi,2,-1,0.035,-1,-1
1067,multi,3,-1,0.028,-1,-1
1068,multi,2,-1,0.06,-1,-1
1069,multi,3,-1,0.035,-1,-1
1070,multi,3,-1,0.021,-1,-1
1071,multi,2,-1,0.042,-1,-1
1072,multi,2,-1,0.042,-1,-1
1073,multi,2,-1,0.026,-1,-1
1074,multi,3,-1,0.047,-1,-1
1075,multi,2,-1,0.06,-1,-1
1076,multi,2,-1,0.025,-1,-1
1077,multi,2,-1,0.044,-1,-1
1078,multi,3,-1,0.052,-1,-1
1079,multi,3,-1,0.055,-1,-1
1080,multi,2,-1,0.05,-1,-1
1081,multi,2,-1,0.026,-1,-1
1082,multi,3,-1,0.033,-1,-1
1083,multi,2,-1,0.041,-1,-1
1084,multi,2,-1,0.031,-1,-1
1085,multi,2,-1,0.058,-1,-1
1086,multi,3,-1,0.04,-1,-1
1087,multi,2,-1,0.025,-1,-1
1088,multi,2,-1,0.029,-1,-1
1089,multi,3,-1,0.058,-1,-1
1090,multi,2,-1,0.022,-1,-1
1091,multi,3,-1,0.038,-1,-1
1092,multi,2,-1,0.058,-1,-1
1093,multi,3,-1,0.034,-1,-1
1094,multi,2,-1,0.027,-1,-1
1095,multi,2,-1,0.053,-1,-1
1096,multi,3,-1,0.021,-1,-1
1097,multi,3,-1,0.028,-1,-1
1098,multi,2,-1,0.041,-1,-1
1099,multi,2,-1,0.032,-1,-1
1100,multi,2,-1,0.029,-1,-1
1101,multi,2,-1,0.055,-1,-1
1102,multi,3,-1,0.037,-1,-1
1103,multi,3,-1,0.04,-1,-1
1104,multi,2,-1,0.053,-1,-1
1105,multi,2,-1,0.052,-1,-1
1106,multi,3,-1,0.027,-1,-1
1107,multi,3,-1,0.021,-1,-1
1108,multi,3,-1,0.06,-1,-1
1109,multi,3,-1,0.028,-1,-1
1110,multi,2,-1,0.049,-1,-1
1111,multi,3,-1,0.027,-1,-1
1112,multi,3,-1,0.048,-1,-1
1113,multi,3,-1,0.029,-1,-1
1114,multi,2,-1,0.04,-1,-1
1115,multi,3,-1,0.044,-1,-1
1116,multi,3,-1,0.028,-1,-1
1117,multi,3,-1,0.031,-1,-1
1118,multi,3,-1,0.045,-1,-1
1119,multi,2,-1,0.051,-1,-1
1120,multi,2,-1,0.022,-1,-1
1121,multi,2,-1,0.046,-1,-1
1122,multi,3,-1,0.025,-1,-1
1123,multi,2,-1,0.031,-1,-1
1124,multi,3,-1,0.024,-1,-1
1125,multi,3,-1,0.045,-1,-1
1126,multi,2,-1,0.04,-1,-1
1127,multi,3,-1,0.044,-1,-1
1128,multi,2,-1,0.038,-1,-1
1129,multi,3,-1,0.027,-1,-1
1130,multi,3,-1,0.039,-1,-1
1131,multi,2,-1,0.051,-1,-1
1132,multi,2,-1,0.03,-1,-1
1133,multi,2,-1,0.054,-1,-1
1134,multi,3,-1,0.057,-1,-1
1135,multi,3,-1,0.023,-1,-1
1136,multi,2,-1,0.037,-1,-1
1137,multi,2,-1,0.045,-1,-1
1138,multi,3,-1,0.031,-1,-1
1139,multi,2,-1,0.029,-1,-1
1140,multi,3,-1,0.052,-1,-1
1141,multi,3,-1,0.024,-1,-1
1142,multi,2,-1,0.027,-1,-1
1143,multi,3,-1,0.046,-1,-1
1144,multi,3,-1,0.035,-1,-1
1145,multi,3,-1,0.055,-1,-1
1146,multi,3,-1,0.029,-1,-1
1147,multi,3,-1,0.035,-1,-1
1148,multi,2,-1,0.045,-1,-1
1149,multi,2,-1,0.052,-1,-1
1150,multi,3,-1,0.032,-1,-1
1151,multi,2,-1,0.048,-1,-1
1152,multi,3,-1,0.035,-1,-1
1153,multi,2,-1,0.039,-1,-1
1154,multi,3,-1,0.04,-1,-1
1155,multi,3,-1,0.032,-1,-1
1156,multi,3,-1,0.033,-1,-1
1157,multi,2,-1,0.026,-1,-1
1158,multi,3,-1,0.028,-1,-1
1159,multi,3,-1,0.057,-1,-1
1160,multi,2,-1,0.057,-1,-1
1161,multi,3,-1,0.024,-1,-1
1162,multi,3,-1,0.024,-1,-1
1163,multi,2,-1,0.035,-1,-1
1164,multi,2,-1,0.059,-1,-1
1165,multi,3,-1,0.028,-1,-1
1166,multi,2,-1,0.036,-1,-1
1167,multi,2,-1,0.058,-1,-1
1168,multi,2,-1,0.051,-1,-1
1169,multi,2,-1,0.045,-1,-1
1170,multi,2,-1,0.052,-1,-1
1171,multi,2,-1,0.035,-1,-1
1172,multi,2,-1,0.026,-1,-1
1173,multi,3,-1,0.045,-1,-1
1174,multi,3,-1,0.036,-1,-1
1175,multi,3,-1,0.05,-1,-1
1176,multi,2,-1,0.049,-1,-1
1177,multi,2,-1,0.053,-1,-1
1178,multi,2,-1,0.047,-1,-1
1179,multi,2,-1,0.051,-1,-1
1180,multi,2,-1,0.038,-1,-1
1181,multi,2,-1,0.038,-1,-1
1182,multi,3,-1,0.024,-1,-1
1183,multi,3,-1,0.06,-1,-1
1184,multi,2,-1,0.036,-1,-1
1185,multi,2,-1,0.05,-1,-1
1186,multi,3,-1,0.024,-1,-1
1187,multi,2,-1,0.047,-1,-1
1188,multi,3,-1,0.046,-1,-1
1189,multi,2,-1,0.053,-1,-1
1190,multi,2,-1,0.041,-1,-1
1191,multi,3,-1,0.031,-1,-1
1192,multi,3,-1,0.031,-1,-1
1193,multi,3,-1,0.039,-1,-1
1194,multi,3,-1,0.049,-1,-1
1195,multi,3,-1,0.048,-1,-1
1196,multi,3,-1,0.057,-1,-1
1197,multi,3,-1,0.06,-1,-1
1198,multi,3,-1,0.047,-1,-1
1199,multi,2,-1,0.04,-1,-1
1200,multi,3,-1,0.045,-1,-1
1201,multi,3,-1,0.027,-1,-1
1202,multi,3,-1,0.043,-1,-1
1203,multi,3,-1,0.052,-1,-1
1204,multi,2,-1,0.055,-1,-1
1205,multi,2,-1,0.036,-1,-1
1206,multi,2,-1,0.024,-1,-1
1207,multi,2,-1,0.03,-1,-1
1208,multi,3,-1,0.042,-1,-1
1209,multi,3,-1,0.034,-1,-1
1210,multi,3,-1,0.04,-1,-1
1211,multi,3,-1,0.02,-1,-1
1212,multi,2,-1,0.048,-1,-1
1213,multi,2,-1,0.045,-1,-1
1214,multi,2,-1,0.037,-1,-1
1215,multi,3,-1,0.041,-1,-1
1216,multi,2,-1,0.052,-1,-1
1217,multi,3,-1,0.05,-1,-1
1218,multi,2,-1,0.039,-1,-1
1219,multi,3,-1,0.037,-1,-1
1220,multi,3,-1,0.059,-1,-1
1221,multi,2,-1,0.029,-1,-1
1222,multi,2,-1,0.021,-1,-1
1223,multi,2,-1,0.059,-1,-1
1224,multi,2,-1,0.049,-1,-1
1225,multi,2,-1,0.029,-1,-1
1226,multi,2,-1,0.022,-1,-1
1227,multi,2,-1,0.036,-1,-1
1228,multi,3,-1,0.051,-1,-1
1229,multi,3,-1,0.031,-1,-1
1230,multi,2,-1,0.047,-1,-1
1231,multi,3,-1,0.046,-1,-1
1232,multi,3,-1,0.024,-1,-1
1233,multi,3,-1,0.042,-1,-1
1234,multi,3,-1,0.025,-1,-1
1235,multi,2,-1,0.041,-1,-1
1236,multi,3,-1,0.058,-1,-1
1237,multi,2,-1,0.023,-1,-1
1238,multi,2,-1,0.048,-1,-1
1239,multi,3,-1,0.031,-1,-1
1240,multi,3,-1,0.035,-1,-1
1241,multi,3,-1,0.038,-1,-1
1242,multi,3,-1,0.021,-1,-1
1243,multi,3,-1,0.03,-1,-1
1244,multi,2,-1,0.059,-1,-1
1245,multi,2,-1,0.048,-1,-1
1246,multi,2,-1,0.039,-1,-1
1247,multi,2,-1,0.032,-1,-1
1248,multi,3,-1,0.059,-1,-1
1249,multi,2,-1,0.058,-1,-1
1250,multi,3,-1,0.04,-1,-1
1251,multi,2,-1,0.042,-1,-1
1252,multi,3,-1,0.052,-1,-1
1253,multi,3,-1,0.031,-1,-1
1254,multi,2,-1,0.057,-1,-1
1255,multi,2,-1,0.03,-1,-1
1256,multi,3,-1,0.053,-1,-1
1257,multi,3,-1,0.052,-1,-1
1258,multi,2,-1,0.055,-1,-1
1259,multi,2,-1,0.047,-1,-1
1260,multi,3,-1,0.057,-1,-1
1261,multi,2,-1,0.052,-1,-1
1262,multi,3,-1,0.05,-1,-1
1263,multi,2,-1,0.023,-1,-1
1264,multi,3,-1,0.049,-1,-1
1265,multi,3,-1,0.024,-1,-1
1266,multi,3,-1,0.053,-1,-1
1267,multi,3,-1,0.038,-1,-1
1268,multi,3,-1,0.054,-1,-1
1269,multi,3,-1,0.053,-1,-1
1270,multi,2,-1,0.051,-1,-1
1271,multi,2,-1,0.048,-1,-1
1272,multi,3,-1,0.032,-1,-1
1273,multi,3,-1,0.04,-1,-1
1274,multi,3,-1,0.035,-1,-1
1275,multi,3,-1,0.037,-1,-1
1276,multi,3,-1,0.028,-1,-1
1277,multi,2,-1,0.026,-1,-1
1278,multi,2,-1,0.03,-1,-1
1279,multi,3,-1,0.06,-1,-1
1280,multi,3,-1,0.04,-1,-1
1281,multi,2,-1,0.038,-1,-1
1282,multi,2,-1,0.057,-1,-1
